,Insight,Insight_include,Insight_add,Mindfulness,Mindfulness_include,Mindfulness_add,Compassion,Compassion_include,Compassion_add
Prompt name,insight,,,mindfulness,,,compassion,,
Definition,"the clarity of understanding of one's thoughts, feelings and behavior",,,"
""Mindfulness"": ""Mindfulness is the psychological process of bringing one's attention to the present moment, which can be developed through the practice of meditation and other techniques, and is often associated with increased awareness and acceptance of one's thoughts and feelings."", ",,,,,
Reference,"Grant, A. M., Franklin, J., & Langford, P. (2002). The self-reflection and insight scale: A new measure of private self-consciousness. Social Behavior and Personality: an international journal, 30(8), 821-835.",,,"gpt-4o-mini which references: "":""Kabat-Zinn, J. (1990). Full Catastrophe Living: Using the Wisdom of Your Body and Mind to Face Stress, Pain, and Illness. Delacorte.""
",,,,,
Examples,"['clarity', 'enlightenment', 'wise']",,,"['mindful', 'meditation', 'awareness', 'nonjudgemental', 'present-focused']",,,"['compassion', 'love', 'kind', 'help others']",,
0,acceptance,,,acceptance,,,acceptance,,
1,acknowledgment,,,acceptance and commitment therapy,,,active listening,,
2,acuity,,,acceptance of self,,,advocacy,,
3,analysis,,,attention,,,altruism,,
4,awareness,,,attunement,,,been there,,
5,awareness of self,,,awareness,,,benevolence,,
6,breakthrough,,,awareness exercises,,,care,,
7,clarity,,,awareness of,,,caring,,
8,clarity in chaos,,,awareness of breath,,,caring actions,,
9,clarity of behavior,,,awareness of feelings,,,charitable acts,,
10,clarity of feeling,,,awareness of sensations,,,community,,
11,clarity of mind,,,awareness of surroundings,,,community support,,
12,clarity of purpose,,,awareness of thoughts,,,compassion,,
13,clarity of thought,,,awareness training,,,compassion cultivation,,
14,clarity of vision,,,balance,,,compassion fatigue,,
15,cognition,,,body scan,,,compassion for others,,
16,cognitive clarity,,,breathe,,,compassion for self,,
17,cognitive insight,,,breathing,,,compassion in action,,
18,comprehension,,,clarity,,,compassion meditation,,
19,contemplation,,,compassion,,,compassion practices,,
20,critical thinking,,,concentration,,,compassion research,,
21,deep understanding,,,conscious,,,compassion satisfaction,,
22,depth,,,conscious living,,,compassion training,,
23,discernment,,,contemplation,,,compassion-focused therapy,,
24,discovery,,,detachment,,,compassionate,,
25,emotional awareness,,,embodiment,,,compassionate communication,,
26,emotional insight,,,emotional awareness,,,compassionate mind,,
27,emotional intelligence,,,emotional regulation,,,concern,,
28,enlightenment,,,emotions,,,connection,,
29,enlightenment journey,,,equanimity,,,emotional awareness,,
30,enlightenment process,,,feelings,,,emotional intelligence,,
31,epiphany,,,focus,,,emotional resilience,,
32,focus,,,gentle awareness,,,emotional resonance,,
33,grasp,,,gratitude,,,emotional support,,
34,growth,,,grounding,,,empathy,,
35,holistic,,,guiding principles,,,empathy training,,
36,holistic understanding,,,heartfulness,,,encouragement,,
37,inner knowing,,,inner peace,,,ethical behavior,,
38,inner vision,,,inquiry,,,forgiveness,,
39,insight-driven,,,insight,,,generosity,,
40,insightfulness,,,intention,,,grace,,
41,interpretation,,,intention setting,,,healing,,
42,introspection,,,letting go,,,heartfulness,,
43,intuition,,,lived experience,,,help others,,
44,knowing,,,meditate,,,human connection,,
45,knowledge,,,meditation,,,humanity,,
46,lucidity,,,mental clarity,,,kind,,
47,mental clarity,,,mindful,,,kindness,,
48,mindfulness,,,mindful communication,,,kindness movement,,
49,observation,,,mindful eating,,,love,,
50,perception,,,mindful listening,,,loving-kindness,,
51,perceptual insight,,,mindful movement,,,mercy,,
52,perceptual shift,,,mindful walking,,,mindfulness,,
53,personal growth,,,mindfulness meditation,,,moral elevation,,
54,personal insight,,,mindfulness practice,,,non-judgment,,
55,perspective,,,mindfulness-based,,,nurturing,,
56,profound understanding,,,moment to moment,,,open-heartedness,,
57,psychological insight,,,non-reactivity,,,outreach,,
58,realization,,,non-str,,,patience,,
59,recognition,,,nonjudgemental,,,positive regard,,
60,reflection,,,observation,,,presence,,
61,revelation,,,open-heartedness,,,prosocial behavior,,
62,self-awareness,,,openness,,,psychological safety,,
63,self-discovery,,,pay attention,,,relational,,
64,self-examination,,,practice,,,relational harmony,,
65,self-exploration,,,presence,,,respect,,
66,self-knowledge,,,presence of mind,,,selflessness,,
67,self-perception,,,present moment,,,service,,
68,self-realization,,,present-focused,,,shared experience,,
69,self-reflection,,,reflection,,,shared humanity,,
70,situational awareness,,,relaxation,,,social connectedness,,
71,synthesis,,,resilience,,,social support,,
72,transformative insight,,,self-acceptance,,,solidarity,,
73,transformative understanding,,,self-awareness,,,soothing presence,,
74,truth,,,self-compassion,,,source of strength,,
75,understanding,,,self-reflection,,,support,,
76,wisdom,,,self-regulation,,,sympathy,,
77,wisdom acquired,,,sensory,,,tenderheartedness,,
78,wise,,,sensory experience,,,tenderness,,
79,,,,serenity,,,understanding,,
80,,,,silence,,,uplifting,,
81,,,,stillness,,,vulnerability,,
82,,,,stress reduction,,,warmth,,
83,,,,thoughts,,,,,
84,,,,tranquility,,,,,
85,,,,visualization,,,,,
86,,,,vividness,,,,,
87,,,,wellbeing,,,,,
88,,,,yoga,,,,,
